epoch,accuracy,loss,val_accuracy,val_loss
0,0.3345765769481659,1.2687135934829712,0.3491227924823761,1.341636061668396
1,0.49319878220558167,1.119508147239685,0.3491227924823761,1.297725796699524
2,0.5195261240005493,1.0099258422851562,0.35438597202301025,1.247191309928894
3,0.5807371735572815,0.9136999845504761,0.46315789222717285,1.0798436403274536
4,0.6303203105926514,0.8403444290161133,0.37017545104026794,1.0648086071014404
5,0.6478718519210815,0.7868846654891968,0.3912280797958374,1.0927681922912598
6,0.7163229584693909,0.7118542194366455,0.4350877106189728,0.9785379767417908
7,0.7623957991600037,0.6610075831413269,0.35789474844932556,1.1505595445632935
8,0.7913558483123779,0.606098473072052,0.3614034950733185,1.4933314323425293
9,0.818560779094696,0.5514122843742371,0.5368421077728271,0.8761677145957947
10,0.8161474466323853,0.5431656837463379,0.6157894730567932,0.7776553630828857
11,0.8255813717842102,0.5031862258911133,0.5263158082962036,0.8608212471008301
12,0.8367705345153809,0.4922041594982147,0.8543859720230103,0.38069865107536316
13,0.8424747586250305,0.4657149612903595,0.6684210300445557,0.7242841124534607
14,0.8345765471458435,0.45787954330444336,0.878947377204895,0.34144294261932373
15,0.8448880910873413,0.4465517997741699,0.7929824590682983,0.5011110901832581
16,0.8530057072639465,0.4291415810585022,0.8736842274665833,0.3262132704257965
17,0.8620008826255798,0.4137694239616394,0.7403509020805359,0.5903815627098083
18,0.85695481300354,0.4033627510070801,0.5473684072494507,1.500984787940979
19,0.8615620732307434,0.38911542296409607,0.8157894611358643,0.49087685346603394
20,0.8604651093482971,0.39066585898399353,0.8421052694320679,0.40515953302383423
21,0.8659499883651733,0.3688320219516754,0.9070175290107727,0.26351073384284973
22,0.8666081428527832,0.3711058497428894,0.8385964632034302,0.4811631143093109
23,0.8635366559028625,0.385549396276474,0.7842105031013489,0.6657880544662476
24,0.8714348673820496,0.3617939054965973,0.5543859601020813,1.7153486013412476
25,0.8692408800125122,0.3629123866558075,0.6982455849647522,0.8254190683364868
26,0.8679245114326477,0.3605893552303314,0.8701754212379456,0.40072768926620483
27,0.8797718286514282,0.34402433037757874,0.9087719321250916,0.2606515884399414
28,0.8670469522476196,0.3578815162181854,0.9122806787490845,0.2615869641304016
29,0.8712154626846313,0.3431444466114044,0.8754385709762573,0.3433806300163269
30,0.869021475315094,0.3512623608112335,0.6929824352264404,0.7735738158226013
31,0.8758227229118347,0.33675435185432434,0.8491228222846985,0.4408781826496124
32,0.8773584961891174,0.33599039912223816,0.719298243522644,0.7160208225250244
33,0.8791136741638184,0.3316342234611511,0.840350866317749,0.4409744143486023
34,0.8813076019287109,0.3324964940547943,0.7894737124443054,0.554728090763092
35,0.8775779008865356,0.3338727653026581,0.7859649062156677,0.5564205646514893
36,0.8799912333488464,0.3344924747943878,0.7894737124443054,0.5822081565856934
37,0.8745063543319702,0.33283618092536926,0.8877192735671997,0.33332258462905884
38,0.884817898273468,0.320989727973938,0.9035087823867798,0.28858786821365356
39,0.876919686794281,0.33230122923851013,0.9105263352394104,0.2657935321331024
40,0.8806493878364563,0.32583993673324585,0.8350877165794373,0.4508424997329712
41,0.8797718286514282,0.33349522948265076,0.8315789699554443,0.4539804458618164
42,0.8819657564163208,0.32497280836105347,0.8912280797958374,0.30329224467277527
43,0.8786748647689819,0.33672448992729187,0.8929824829101562,0.29234567284584045
