epoch,accuracy,loss,val_accuracy,val_loss
0,0.40566039085388184,1.145686149597168,0.2561403512954712,1.3359503746032715
1,0.5684510469436646,0.8854981064796448,0.359649121761322,1.3512248992919922
2,0.7038174867630005,0.7134236097335815,0.39649122953414917,1.3499994277954102
3,0.7709521651268005,0.5989512205123901,0.36666667461395264,1.3776462078094482
4,0.8089073896408081,0.5294048190116882,0.378947377204895,1.3096234798431396
5,0.8247038125991821,0.47638365626335144,0.359649121761322,1.4974344968795776
6,0.8462044596672058,0.4385797679424286,0.35789474844932556,1.4738413095474243
7,0.856077253818512,0.39673471450805664,0.6087719202041626,0.9910728931427002
8,0.8525668978691101,0.3856745958328247,0.3824561536312103,0.9696015119552612
9,0.8659499883651733,0.3804490566253662,0.8561403751373291,0.5360347032546997
10,0.8602457046508789,0.37230828404426575,0.8824561238288879,0.49900904297828674
11,0.8696796894073486,0.3644043803215027,0.5771929621696472,1.0215890407562256
12,0.8714348673820496,0.36060747504234314,0.5315789580345154,1.6116347312927246
13,0.8725318312644958,0.3443061411380768,0.8999999761581421,0.32139915227890015
14,0.8740675449371338,0.3442577123641968,0.5684210658073425,1.168229103088379
15,0.8723124265670776,0.33226099610328674,0.5842105150222778,1.2286604642868042
16,0.8903027772903442,0.3139250576496124,0.8491228222846985,0.39044585824012756
17,0.8885475993156433,0.3105170726776123,0.6754385828971863,0.9222167134284973
18,0.8802106380462646,0.32926374673843384,0.5649122595787048,1.220210075378418
19,0.8850373029708862,0.309853732585907,0.8245614171028137,0.8446610569953918
20,0.8885475993156433,0.3155101537704468,0.9298245906829834,0.25019270181655884
21,0.8896445631980896,0.30964019894599915,0.6438596248626709,1.1200940608978271
22,0.8907415270805359,0.30143293738365173,0.6368421316146851,2.310527801513672
23,0.8856954574584961,0.3055558502674103,0.6491228342056274,1.8081883192062378
24,0.8975427746772766,0.28838858008384705,0.7280701994895935,1.0325334072113037
25,0.8867924809455872,0.2908545732498169,0.780701756477356,0.5160893201828003
26,0.8988591432571411,0.2869926393032074,0.9333333373069763,0.20196446776390076
27,0.9003949165344238,0.28680121898651123,0.8947368264198303,0.3069739043712616
28,0.8964458107948303,0.28898996114730835,0.9333333373069763,0.2594274878501892
29,0.8992979526519775,0.28302469849586487,0.8315789699554443,0.45629289746284485
30,0.8962264060974121,0.2904428243637085,0.9298245906829834,0.22466035187244415
31,0.900614321231842,0.2779551148414612,0.8333333134651184,0.476248174905777
32,0.9067573547363281,0.26897943019866943,0.6175438761711121,0.9704887270927429
33,0.9030276536941528,0.27545028924942017,0.5947368144989014,1.1690802574157715
34,0.9060991406440735,0.2667276859283447,0.9140350818634033,0.29088684916496277
35,0.9014918804168701,0.26227110624313354,0.942105233669281,0.22554385662078857
36,0.9054409861564636,0.26268571615219116,0.9508771896362305,0.1655953824520111
37,0.9050021767616272,0.2738650143146515,0.942105233669281,0.22215226292610168
38,0.9060991406440735,0.2597188353538513,0.74210524559021,0.9596496820449829
39,0.9054409861564636,0.26292094588279724,0.9473684430122375,0.18093940615653992
40,0.9133391976356506,0.23716770112514496,0.8473684191703796,0.41887104511260986
41,0.9131197929382324,0.24726635217666626,0.6245614290237427,1.6325269937515259
42,0.9043440222740173,0.2587067484855652,0.8964912295341492,0.4116341173648834
43,0.9063185453414917,0.2601221799850464,0.9140350818634033,0.2692859470844269
44,0.9210180044174194,0.236117884516716,0.9192982316017151,0.31749776005744934
45,0.9050021767616272,0.25056812167167664,0.8561403751373291,0.3850628733634949
46,0.912680983543396,0.2477288693189621,0.9438596367835999,0.21879678964614868
47,0.9161913394927979,0.2386365681886673,0.8771929740905762,0.35238349437713623
48,0.9129003882408142,0.23811884224414825,0.8122807145118713,0.5940433144569397
49,0.9203597903251648,0.22588711977005005,0.8824561238288879,0.3348989188671112
50,0.915313720703125,0.23866815865039825,0.9473684430122375,0.18419389426708221
51,0.9170688986778259,0.23155659437179565,0.8842105269432068,0.32114166021347046
